"filename", "language", "pip requirements", "Python", "Markdown", "comment", "blank", "total"
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_360.py", "Python", 0, 38, 0, 0, 6, 44
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_baichuan.py", "Python", 0, 39, 0, 0, 6, 45
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_baidu.py", "Python", 0, 37, 0, 0, 6, 43
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_bailing.py", "Python", 0, 38, 0, 0, 7, 45
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_bytedance.py", "Python", 0, 38, 0, 1, 6, 45
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_doubao.py", "Python", 0, 34, 0, 1, 6, 41
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_minimax.py", "Python", 0, 32, 0, 0, 6, 38
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_moonshot.py", "Python", 0, 35, 0, 0, 6, 41
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_nanbeige.py", "Python", 0, 30, 0, 0, 7, 37
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_pangu.py", "Python", 0, 35, 0, 2, 6, 43
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_qwen.py", "Python", 0, 35, 0, 0, 6, 41
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_rendu.py", "Python", 0, 34, 0, 0, 6, 40
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_sensetime.py", "Python", 0, 47, 0, 0, 6, 53
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_xunfei.py", "Python", 0, 45, 0, 1, 6, 52
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_zhipu.py", "Python", 0, 39, 0, 3, 7, 49
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\api_examples\eval_api_zhipu_v2.py", "Python", 0, 56, 0, 3, 9, 68
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\dataset_collections\chat_OC15.py", "Python", 0, 20, 0, 0, 3, 23
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\README.md", "Markdown", 0, 0, 64, 0, 6, 70
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\deprecated_gsm8k_agent_gen_be1606.py", "Python", 0, 47, 0, 1, 8, 56
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_0shot_gen_a58960.py", "Python", 0, 32, 0, 0, 5, 37
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_0shot_v2_gen_a58960.py", "Python", 0, 33, 0, 0, 5, 38
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_agent_gen_c3dff3.py", "Python", 0, 47, 0, 1, 8, 56
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_gen.py", "Python", 0, 3, 0, 0, 2, 5
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_gen_17d0dc.py", "Python", 0, 35, 0, 0, 4, 39
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_gen_1d7fe4.py", "Python", 0, 35, 0, 0, 6, 41
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_gen_1dce88.py", "Python", 0, 78, 0, 0, 8, 86
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_gen_3309bd.py", "Python", 0, 35, 0, 0, 4, 39
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_gen_57b0b1.py", "Python", 0, 62, 0, 8, 14, 84
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_gen_701491.py", "Python", 0, 29, 0, 0, 4, 33
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_gen_a3e34a.py", "Python", 0, 81, 0, 0, 8, 89
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_gen_d6de81.py", "Python", 0, 33, 0, 0, 4, 37
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_gen_e9e91e.py", "Python", 0, 46, 0, 3, 5, 54
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_gen_ee684f.py", "Python", 0, 80, 0, 0, 8, 88
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_model_postprocess_gen_a58960.py", "Python", 0, 40, 0, 7, 6, 53
"d:\for_developing\ascend_tools\tools\ais-bench_workload\experimental_tools\benchmark\ais_bench\configs\datasets\gsm8k\gsm8k_xfinder_gen_a58960.py", "Python", 0, 39, 0, 0, 5, 44
